id,nameFirst,nameLast,address,city,st,zip,creditCard,balance
1,Dorothy,Jones,2828 Lost Creek Road,Minneapolis,MN,55404,Visa,2976.64
2,Gary,Stark,1371 Canis Heights Drive,Los Angeles,CA,90071,Visa,0.00
3,Christian,Peoples,3130 Oak Drive,Saratoga Springs,NY,12866,Discover,7855.80
4,Tommie,Rivera,1393 Sycamore Lake Road,Green Bay,WI,54303,MasterCard,13897.98
5,Lucy,Landers,2902 Arlington Avenue,Warren,AR,71671,MasterCard,3639.53
6,Amy,Bookman,1003 Nelm Street,Saint Louis,MO,63146,MasterCard,1125.83
7,Willie,Phelps,2011 Brownton Road,Jackson,MS,39211,MasterCard,4705.34
8,Douglas,Pagan,1451 Apple Lane,Astoria,IL,61501,Discover,4916.37
9,Steve,Chumley,2062 Rafe Lane,Jackson,MS,39211,Discover,0.00
10,Ernest,Jarvis,807 Eagle Street,Fairview Heights,IL,62208,Visa,7038.10
11,James,Beecher,3907 Hinkle Deegan Lake Road,Binghampton,NY,13904,Visa,9899.91
12,Linda,Williams,1506 Seneca Drive,Beaver Creek,OR,97004,MasterCard,10686.84
13,Kimberly,Bennett,3640 North Street,Ibapah,UT,84034,MasterCard,3313.05
14,Margaret,Horton,3711 Lee Avenue,Camden,NJ,08104,Discover,4105.28
15,Edward,Newell,4834 Ruckman Road,Oklahoma City,OK,73102,Visa,2764.44
16,Joyce,Gore,996 Red Hawk Road,Orlando,FL,32801,MasterCard,0.00
17,Terese,Brassard,414 Findley Avenue,Mclaughlin,ND,57642,Visa,9803.06
18,Adelaide,Denning,3738 Ashton Lane,Austin,TX,78704,MasterCard,15326.21
19,Amber,Witte,2045 Emeral Dreams Drive,Princeton,IL,61356,MasterCard,0.00
20,Valerie,Creamer,894 Briarhill Lane,Sylvestor,TX,79560,MasterCard,3635.75
21,Henry,Delvecchio,3797 Pallet Street,White Plains,NY,10641,MasterCard,1073.30
22,Sally,Pettit,1894 Spirit Drive,Jennings,FL,32053,MasterCard,11064.04
23,Heather,Tunstall,67 Burning Memory Lane,Carversville,PA,18913,MasterCard,0.00
24,Grace,Matney,1154 Yorkshire Circle,Greenville,NC,27834,Visa,15339.19
25,Monica,Haskell,1183 Jefferson Street,Newport News,VA,23607,Discover,6567.04
26,Timothy,Davis,2061 Edsel Road,Los Angeles,CA,90013,MasterCard,3903.58
27,Chester,Holmes,4691 River Road,Colorado Springs,CO,80915,MasterCard,0.00
28,Christopher,Mitchell,2964 Cameron Road,Jamestown,NY,14701,MasterCard,13050.27
29,Tasha,Baker,151 Webster Street,Long Branch,NJ,07740,MasterCard,0.00
30,Timmy,Jackson,1131 Park Street,Oakland,CA,94612,Discover,4207.37
31,Ned,White,1608 Java Lane,Orangeburg,SC,29115,Visa,3641.70
32,Geraldine,Acosta,4233 Shingleton Road,Grand Rapids,MI,49508,MasterCard,4896.76
33,Gisela,Duggan,3804 Pine Street,Pittsburgh,PA,15201,Visa,16334.94
34,Rachel,Douglas,1549 Garfield Road,Peoria,IL,61602,Visa,3126.37
35,Matthew,Sherman,4091 Millbrook Road,Warrenville,IL,60555,Discover,4195.85
36,Billy,Miller,499 Spirit Drive,Port Orange,FL,32019,MasterCard,0.00
37,James,Campbell,4114 Meadowview Drive,Roanoke,VA,24019,MasterCard,0.00
38,Helen,Schaper,2274 Kessla Way,North Charleston,SC,29405,MasterCard,2210.20
39,Sadie,Lewin,3018 Garrett Street,Newark,PA,19714,Visa,4353.66
40,Margaret,Adams,4093 Aaron Smith Drive,York,PA,17401,Discover,4006.85
41,Claretta,Gowan,130 Kovar Road,Medway,MA,02053,MasterCard,10323.38
